text_response,anxiety_label,anxiety_code,heart_rate,sleep_hours,study_hours_per_day,days_since_last_break,social_interactions_per_week,water_intake_liters,exercise_minutes_per_day
I experience panic attacks when I think about exams,High,2,108.7,4.5,7.2,6,1,1.2,5
My heart races and I feel nauseous when exam date approaches,High,2,88.5,4.1,5.9,12,1,1.2,3
The thought of the exam fills me with dread and terror,High,2,97.5,4.8,9.3,12,2,1.6,10
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,88.0,5.6,6.4,5,2,1.5,23
I am confident in my preparation and feel steady,Low,0,70.3,8.3,4.7,1,8,2.0,36
I feel moderate pressure from family expectations about results,Moderate,1,94.7,5.6,5.9,2,4,2.2,25
I feel extremely stressed and cannot focus on anything,High,2,79.3,4.4,8.6,6,2,1.1,3
My preparation is going smoothly without much stress,Low,0,70.8,7.8,6.8,2,6,2.8,37
My mind goes completely blank whenever I try to study,High,2,83.5,5.7,8.5,12,2,1.1,8
I feel tense when thinking about results but manage to study,Moderate,1,81.3,6.6,7.0,4,4,1.4,20
I experience panic attacks when I think about exams,High,2,86.8,2.2,7.8,11,1,1.5,6
My mind goes completely blank whenever I try to study,High,2,100.0,4.1,10.8,14,2,0.9,9
My heart races and I feel nauseous when exam date approaches,High,2,113.0,5.6,11.9,11,2,0.8,10
I cannot stop worrying about failing the exam at all,High,2,99.6,3.8,9.2,12,1,1.3,6
I cannot stop worrying about failing the exam at all,High,2,95.1,4.7,8.8,10,1,0.8,10
My preparation is going smoothly without much stress,Low,0,63.1,8.2,5.7,1,6,2.5,29
I cry frequently because of the unbearable exam pressure,High,2,104.1,3.8,6.8,10,0,1.2,2
I have not been able to sleep for days because of exam fear,High,2,92.1,5.0,9.0,10,1,0.8,2
I feel tense when thinking about results but manage to study,Moderate,1,85.4,5.6,7.0,3,4,1.3,16
I enjoy studying and feel ready for assessments,Low,0,65.5,7.8,5.4,0,8,2.2,28
I am confident in my preparation and feel steady,Low,0,73.0,7.5,3.6,1,7,2.7,57
I cannot stop worrying about failing the exam at all,High,2,99.0,5.5,8.1,13,1,0.5,0
I cannot stop worrying about failing the exam at all,High,2,99.5,2.5,10.0,5,0,1.2,10
I feel good about my chances in the exam,Low,0,64.3,8.1,5.3,2,7,2.3,52
I have been feeling restless lately because of exams,Moderate,1,75.9,6.8,6.5,3,6,1.9,22
I feel overwhelmed when I look at the entire syllabus,Moderate,1,90.3,7.1,8.0,4,2,1.7,5
My appetite has slightly reduced during exam preparation,Moderate,1,81.3,5.8,7.8,3,6,1.9,6
I have been feeling restless lately because of exams,Moderate,1,70.1,6.8,6.5,2,2,1.5,6
I cannot stop worrying about failing the exam at all,High,2,81.3,5.2,8.1,12,1,1.4,5
I experience panic attacks when I think about exams,High,2,96.6,4.4,10.8,8,2,1.2,0
I feel moderate pressure from family expectations about results,Moderate,1,87.5,6.4,6.0,2,3,1.7,6
I am calm and focused during my study sessions,Low,0,74.9,7.7,8.1,0,10,2.8,26
I feel a little nervous but it motivates me positively,Low,0,76.8,7.8,4.7,2,10,2.7,43
No major worries just some normal exam jitters,Low,0,74.1,8.4,4.2,0,10,2.1,44
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,88.3,5.9,6.8,3,4,2.8,14
I feel extremely stressed and cannot focus on anything,High,2,94.1,4.2,8.2,12,2,1.3,10
I manage my time well and feel in control,Low,0,69.9,7.4,3.7,0,5,2.2,37
I cannot stop worrying about failing the exam at all,High,2,97.7,4.3,8.7,8,0,1.4,2
I get anxious during revision but calm down after some time,Moderate,1,84.2,6.2,8.7,2,6,2.1,6
I have not been able to sleep for days because of exam fear,High,2,91.1,4.2,8.0,5,2,0.8,6
I feel good about my chances in the exam,Low,0,79.8,7.5,4.4,1,5,3.1,20
I am calm and focused during my study sessions,Low,0,71.9,7.0,5.8,0,6,2.1,47
I feel a little nervous but it motivates me positively,Low,0,76.1,7.5,3.7,2,8,2.1,30
No major worries just some normal exam jitters,Low,0,73.3,7.9,3.8,1,9,2.1,36
I get nervous but can still function and study normally,Moderate,1,73.5,6.6,6.5,3,4,1.8,16
I feel moderate pressure from family expectations about results,Moderate,1,79.3,5.9,6.4,2,3,1.1,23
I feel a little nervous but it motivates me positively,Low,0,82.4,7.2,6.7,0,9,2.6,34
No major worries just some normal exam jitters,Low,0,68.4,7.9,4.7,2,8,2.9,25
The thought of the exam fills me with dread and terror,High,2,96.6,3.5,8.0,6,1,0.9,6
I am constantly trembling and cannot eat or sleep properly,High,2,106.3,2.6,5.4,11,2,1.1,5
I have not been able to sleep for days because of exam fear,High,2,100.0,2.5,7.6,11,1,1.7,10
I feel moderate pressure from family expectations about results,Moderate,1,80.2,6.3,7.8,5,5,1.7,14
I feel overwhelmed when I look at the entire syllabus,Moderate,1,80.0,7.0,5.7,2,2,2.0,25
The thought of the exam fills me with dread and terror,High,2,86.6,6.0,8.2,6,2,1.4,8
I am constantly trembling and cannot eat or sleep properly,High,2,91.1,4.4,10.4,11,0,1.3,5
I feel completely hopeless and unprepared for the exams,High,2,97.7,3.7,9.0,14,2,1.4,2
Exams do not bother me much this time,Low,0,79.4,8.2,4.4,2,9,2.6,57
I feel moderate pressure from family expectations about results,Moderate,1,93.5,7.0,5.7,4,6,2.0,13
I am confident in my preparation and feel steady,Low,0,74.8,7.0,5.1,1,8,2.1,29
I feel extremely stressed and cannot focus on anything,High,2,95.3,4.3,10.7,13,1,1.3,1
I get nervous but can still function and study normally,Moderate,1,84.0,6.9,6.0,2,4,2.1,18
I have been studying consistently and feel confident,Low,0,75.8,7.0,5.9,1,8,2.9,60
I feel extremely stressed and cannot focus on anything,High,2,94.8,4.2,7.4,6,0,0.8,10
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.2,6.0,7.5,4,6,1.8,19
I feel like everything depends on this exam and I might fail,High,2,101.2,5.1,7.5,6,0,1.3,1
My heart races and I feel nauseous when exam date approaches,High,2,93.8,3.5,9.8,7,1,0.9,0
My appetite has slightly reduced during exam preparation,Moderate,1,81.2,5.2,7.4,2,6,1.9,25
I get anxious during revision but calm down after some time,Moderate,1,76.9,6.1,6.1,3,2,1.9,8
I cannot stop worrying about failing the exam at all,High,2,84.0,5.5,8.0,6,1,1.4,6
I feel like everything depends on this exam and I might fail,High,2,107.6,4.5,8.1,7,0,1.1,10
I get anxious during revision but calm down after some time,Moderate,1,93.8,5.9,7.7,3,4,1.4,21
I feel overwhelmed when I look at the entire syllabus,Moderate,1,67.2,6.0,7.3,2,4,2.1,25
I am constantly trembling and cannot eat or sleep properly,High,2,90.3,4.9,9.5,7,2,1.3,6
The thought of the exam fills me with dread and terror,High,2,98.2,2.8,10.5,5,1,1.2,0
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,77.6,5.5,6.4,3,6,2.2,24
I feel completely hopeless and unprepared for the exams,High,2,105.4,4.6,9.1,5,1,1.4,3
I worry a bit about failing but I keep studying,Moderate,1,84.8,4.9,8.5,2,2,1.4,18
I experience panic attacks when I think about exams,High,2,95.8,4.4,10.8,14,0,0.9,3
I have been studying consistently and feel confident,Low,0,76.2,7.1,5.1,0,10,2.4,39
I feel good about my chances in the exam,Low,0,72.9,7.6,4.5,2,9,2.2,41
The thought of the exam fills me with dread and terror,High,2,100.1,5.5,9.2,10,0,1.1,10
I have not been able to sleep for days because of exam fear,High,2,94.8,3.4,8.2,7,1,1.3,4
I have been studying consistently and feel confident,Low,0,75.4,7.3,7.2,2,6,2.3,50
My appetite has slightly reduced during exam preparation,Moderate,1,84.9,5.8,6.7,2,6,1.3,13
I cry frequently because of the unbearable exam pressure,High,2,91.0,5.0,9.7,12,0,1.5,2
I have not been able to sleep for days because of exam fear,High,2,92.9,4.4,8.4,11,1,0.8,10
I am constantly trembling and cannot eat or sleep properly,High,2,89.6,5.4,5.7,8,2,0.8,5
I worry a bit about failing but I keep studying,Moderate,1,84.1,6.7,6.0,5,2,1.9,14
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,75.8,6.6,8.0,4,5,1.6,11
I manage my time well and feel in control,Low,0,74.6,7.1,5.2,0,10,2.3,24
I get nervous but can still function and study normally,Moderate,1,82.9,5.9,7.2,4,3,1.7,14
My preparation is going smoothly without much stress,Low,0,73.6,7.4,5.8,1,8,1.8,33
I feel overwhelmed when I look at the entire syllabus,Moderate,1,86.3,5.1,7.5,5,5,1.3,7
My mind goes completely blank whenever I try to study,High,2,93.9,4.2,10.4,14,0,1.3,9
I have been studying consistently and feel confident,Low,0,71.6,6.7,5.4,2,7,2.6,58
My mind goes completely blank whenever I try to study,High,2,95.2,3.5,12.1,6,2,1.7,0
I feel quite relaxed about my upcoming exams,Low,0,84.0,7.5,5.2,2,9,2.8,35
I enjoy studying and feel ready for assessments,Low,0,72.5,7.5,4.2,2,8,2.4,49
I feel like everything depends on this exam and I might fail,High,2,94.0,3.2,9.6,9,2,1.4,8
I get anxious during revision but calm down after some time,Moderate,1,81.9,7.0,6.4,2,4,1.6,23
Exams do not bother me much this time,Low,0,80.4,7.9,5.0,0,5,2.9,32
I feel a little nervous but it motivates me positively,Low,0,78.3,7.1,4.8,1,10,2.4,49
I feel completely hopeless and unprepared for the exams,High,2,101.6,4.3,7.5,13,2,1.6,1
I sleep well and feel mentally prepared,Low,0,72.0,6.9,6.5,0,6,2.8,55
I cannot stop worrying about failing the exam at all,High,2,88.0,4.8,8.2,6,2,1.4,0
No major worries just some normal exam jitters,Low,0,74.6,7.2,3.8,1,5,1.6,27
I have not been able to sleep for days because of exam fear,High,2,102.7,4.7,7.1,7,2,1.0,4
I feel good about my chances in the exam,Low,0,69.4,7.6,5.0,2,7,2.9,50
I feel moderate pressure from family expectations about results,Moderate,1,77.6,5.7,6.0,4,3,2.0,17
Exams do not bother me much this time,Low,0,70.8,7.4,6.6,0,6,2.7,26
I feel quite relaxed about my upcoming exams,Low,0,69.4,7.0,4.9,1,7,2.8,22
I get anxious during revision but calm down after some time,Moderate,1,80.5,5.4,7.0,5,5,1.5,8
I have been having severe headaches and chest tightness from stress,High,2,88.9,4.9,9.1,13,0,0.6,1
My heart races and I feel nauseous when exam date approaches,High,2,100.0,4.8,8.4,7,1,1.5,1
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,81.5,5.4,9.2,4,6,1.7,7
I feel tense when thinking about results but manage to study,Moderate,1,86.1,6.7,6.3,3,4,2.1,8
I have been having severe headaches and chest tightness from stress,High,2,118.0,4.3,10.1,10,2,1.0,7
No major worries just some normal exam jitters,Low,0,68.3,8.1,6.1,0,6,2.7,49
I worry a bit about failing but I keep studying,Moderate,1,82.7,6.0,7.8,2,2,1.1,22
I feel tense when thinking about results but manage to study,Moderate,1,94.4,7.1,9.2,2,6,1.8,6
I feel completely hopeless and unprepared for the exams,High,2,97.1,5.2,10.0,7,0,1.4,5
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,74.9,5.1,7.5,2,4,2.0,23
I feel overwhelmed when I look at the entire syllabus,Moderate,1,95.3,5.2,7.5,3,2,1.5,15
My mind goes completely blank whenever I try to study,High,2,87.7,5.0,7.8,5,2,0.9,2
I have been having severe headaches and chest tightness from stress,High,2,88.8,3.6,9.5,13,0,0.9,10
I sometimes procrastinate due to exam pressure and worry,Moderate,1,88.9,6.4,5.9,3,5,1.7,23
I feel moderate pressure from family expectations about results,Moderate,1,85.2,6.3,6.9,4,5,2.2,22
I cannot stop worrying about failing the exam at all,High,2,95.2,4.8,7.9,9,0,1.3,5
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,79.1,6.9,8.4,2,2,1.6,25
I feel tense when thinking about results but manage to study,Moderate,1,94.8,6.0,8.0,5,6,2.2,15
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,86.2,6.6,6.7,2,5,2.3,9
I worry a bit about failing but I keep studying,Moderate,1,87.0,5.2,5.4,3,4,2.0,16
I cannot stop worrying about failing the exam at all,High,2,107.5,4.2,11.2,11,1,1.2,3
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,76.3,6.2,7.5,5,2,2.1,16
I get nervous but can still function and study normally,Moderate,1,83.4,5.9,6.0,5,2,1.8,5
My heart races and I feel nauseous when exam date approaches,High,2,105.4,4.3,8.5,9,2,1.4,4
I sometimes procrastinate due to exam pressure and worry,Moderate,1,84.5,6.3,8.1,4,3,1.8,9
I sleep well and feel mentally prepared,Low,0,67.8,7.2,2.9,1,5,2.3,35
I have been having severe headaches and chest tightness from stress,High,2,101.1,3.9,11.5,13,1,0.6,10
I get anxious during revision but calm down after some time,Moderate,1,74.3,6.0,5.7,3,4,1.9,15
I worry a bit about failing but I keep studying,Moderate,1,72.1,6.2,5.1,4,3,1.8,17
I have been having severe headaches and chest tightness from stress,High,2,95.0,4.1,4.6,10,0,1.8,6
I have been having severe headaches and chest tightness from stress,High,2,103.7,4.5,9.3,11,0,1.5,10
I cry frequently because of the unbearable exam pressure,High,2,96.7,3.9,10.5,13,2,1.1,7
I feel a little nervous but it motivates me positively,Low,0,69.8,8.2,6.6,2,9,2.3,37
I have been studying consistently and feel confident,Low,0,64.2,7.2,5.8,2,10,2.1,43
I feel tense when thinking about results but manage to study,Moderate,1,74.2,5.6,8.0,5,5,2.0,5
I experience panic attacks when I think about exams,High,2,93.6,2.4,8.5,12,1,1.2,3
I am calm and focused during my study sessions,Low,0,67.9,7.5,3.9,1,5,1.6,56
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,73.9,6.2,8.8,4,5,1.8,13
I feel completely hopeless and unprepared for the exams,High,2,88.8,3.7,10.6,9,1,1.5,6
I feel extremely stressed and cannot focus on anything,High,2,108.5,3.3,11.4,9,1,1.1,7
I feel tense when thinking about results but manage to study,Moderate,1,88.2,5.8,7.0,4,2,1.4,25
I have been feeling restless lately because of exams,Moderate,1,78.3,5.5,6.1,5,4,1.6,9
I have been having severe headaches and chest tightness from stress,High,2,91.1,3.9,10.5,11,1,0.8,0
I worry a bit about failing but I keep studying,Moderate,1,82.7,5.7,6.4,5,5,1.9,25
I feel overwhelmed when I look at the entire syllabus,Moderate,1,86.4,5.4,9.0,5,3,1.6,22
I feel good about my chances in the exam,Low,0,65.4,8.4,6.2,2,5,2.4,55
The thought of the exam fills me with dread and terror,High,2,82.7,4.1,7.9,9,2,1.4,9
I sometimes procrastinate due to exam pressure and worry,Moderate,1,94.2,6.8,6.6,2,2,2.2,21
I sometimes procrastinate due to exam pressure and worry,Moderate,1,87.0,6.7,5.4,4,3,1.6,6
I have not been able to sleep for days because of exam fear,High,2,89.8,4.7,8.3,8,0,1.3,3
My mind goes completely blank whenever I try to study,High,2,85.0,4.9,11.8,14,1,1.3,0
The thought of the exam fills me with dread and terror,High,2,121.9,6.3,8.7,11,2,1.2,4
I feel tense when thinking about results but manage to study,Moderate,1,81.8,5.5,8.0,5,4,2.3,18
I have been studying consistently and feel confident,Low,0,76.7,7.2,5.1,2,10,2.4,41
No major worries just some normal exam jitters,Low,0,67.7,7.3,6.0,1,10,2.3,27
I cry frequently because of the unbearable exam pressure,High,2,96.9,4.0,9.7,6,1,0.3,2
My preparation is going smoothly without much stress,Low,0,67.1,7.9,6.2,0,10,2.3,36
I cry frequently because of the unbearable exam pressure,High,2,86.5,5.3,9.9,7,2,1.0,6
I sleep well and feel mentally prepared,Low,0,77.4,7.0,5.1,1,5,2.3,23
I feel good about my chances in the exam,Low,0,68.4,6.6,4.9,0,8,2.5,48
I have been studying consistently and feel confident,Low,0,68.8,6.8,6.6,1,8,2.8,41
I feel overwhelmed when I look at the entire syllabus,Moderate,1,80.6,5.4,8.6,3,3,1.7,13
I have been studying consistently and feel confident,Low,0,75.7,7.4,5.1,0,5,2.7,47
I get nervous but can still function and study normally,Moderate,1,76.3,6.9,6.8,5,6,1.6,14
I have been having severe headaches and chest tightness from stress,High,2,90.8,4.5,8.9,9,1,0.7,6
I worry a bit about failing but I keep studying,Moderate,1,78.2,6.0,8.2,5,6,1.7,16
My appetite has slightly reduced during exam preparation,Moderate,1,83.0,6.4,5.6,5,4,1.1,25
I feel good about my chances in the exam,Low,0,78.3,7.1,5.4,1,7,2.7,47
I enjoy studying and feel ready for assessments,Low,0,67.8,7.3,5.3,1,10,2.8,59
I have been having severe headaches and chest tightness from stress,High,2,89.3,5.6,8.9,12,1,0.9,4
I worry a bit about failing but I keep studying,Moderate,1,81.8,6.8,7.6,2,5,0.9,24
I have been studying consistently and feel confident,Low,0,79.6,7.8,4.0,0,7,3.1,58
I feel good about my chances in the exam,Low,0,68.9,6.8,4.1,0,5,2.1,35
I feel overwhelmed when I look at the entire syllabus,Moderate,1,81.3,5.5,8.7,4,6,1.5,11
I feel good about my chances in the exam,Low,0,68.9,7.3,5.3,2,8,2.6,48
I get nervous but can still function and study normally,Moderate,1,76.1,4.8,6.6,3,6,1.8,10
I feel like everything depends on this exam and I might fail,High,2,85.5,3.2,8.1,14,1,1.4,2
I feel completely hopeless and unprepared for the exams,High,2,109.7,3.1,9.7,5,2,1.3,4
I manage my time well and feel in control,Low,0,65.2,7.4,3.8,2,9,2.0,37
My appetite has slightly reduced during exam preparation,Moderate,1,77.4,5.5,7.3,4,4,1.7,13
No major worries just some normal exam jitters,Low,0,72.9,8.2,5.9,1,6,2.0,46
My mind goes completely blank whenever I try to study,High,2,88.1,4.0,9.3,12,2,1.3,0
I get anxious during revision but calm down after some time,Moderate,1,82.2,6.1,6.8,2,6,1.6,17
I cry frequently because of the unbearable exam pressure,High,2,94.1,4.5,7.6,13,2,1.6,10
I sleep well and feel mentally prepared,Low,0,64.2,7.3,6.5,1,8,2.8,51
The thought of the exam fills me with dread and terror,High,2,106.9,5.8,13.7,14,0,0.9,6
I feel quite relaxed about my upcoming exams,Low,0,69.8,7.3,5.2,1,8,2.4,26
Exams do not bother me much this time,Low,0,70.8,7.4,2.3,2,7,2.5,53
I get nervous but can still function and study normally,Moderate,1,81.9,6.5,7.1,2,3,2.2,15
Sometimes I cannot sleep because I keep thinking about exams,Moderate,1,80.1,5.3,7.1,5,6,2.3,24
I feel overwhelmed when I look at the entire syllabus,Moderate,1,88.5,5.6,6.9,5,4,1.6,9
I feel completely hopeless and unprepared for the exams,High,2,92.7,4.8,9.5,7,0,0.9,0
I get anxious during revision but calm down after some time,Moderate,1,85.6,6.3,8.2,2,4,1.5,12
I feel completely hopeless and unprepared for the exams,High,2,106.5,4.3,10.3,9,0,1.2,1
The thought of the exam fills me with dread and terror,High,2,84.0,3.9,11.0,14,1,1.5,3
I experience panic attacks when I think about exams,High,2,98.1,2.9,8.5,13,0,0.5,4
No major worries just some normal exam jitters,Low,0,69.4,8.2,7.3,2,8,2.4,49
I feel good about my chances in the exam,Low,0,68.1,7.3,5.8,0,10,2.1,47
I sometimes procrastinate due to exam pressure and worry,Moderate,1,78.8,6.6,8.6,5,6,2.1,6
I get nervous but can still function and study normally,Moderate,1,85.9,6.4,8.1,5,4,2.6,6
I have not been able to sleep for days because of exam fear,High,2,87.6,4.9,9.4,10,1,1.5,0
I feel good about my chances in the exam,Low,0,75.5,7.3,5.2,2,7,2.5,49
I have been having severe headaches and chest tightness from stress,High,2,105.9,4.2,10.6,8,0,1.4,3
I sometimes procrastinate due to exam pressure and worry,Moderate,1,88.3,5.7,4.4,4,5,1.9,9
I get anxious during revision but calm down after some time,Moderate,1,78.6,6.3,5.7,2,2,2.0,12
I enjoy studying and feel ready for assessments,Low,0,71.6,8.2,4.3,1,8,3.0,48
I enjoy studying and feel ready for assessments,Low,0,68.6,7.8,6.0,0,8,2.8,25
I sleep well and feel mentally prepared,Low,0,74.8,7.5,5.5,0,9,2.2,44
I feel moderate pressure from family expectations about results,Moderate,1,78.7,6.1,6.5,4,5,1.7,9
I manage my time well and feel in control,Low,0,75.8,8.1,4.9,1,8,2.4,46
Exams do not bother me much this time,Low,0,68.4,7.6,4.7,1,10,3.0,29
My mind goes completely blank whenever I try to study,High,2,86.8,3.2,6.3,9,2,0.8,6
I feel good about my chances in the exam,Low,0,70.9,7.7,6.5,1,10,2.3,24
I feel moderate pressure from family expectations about results,Moderate,1,89.6,5.6,5.7,3,3,1.7,24
I feel extremely stressed and cannot focus on anything,High,2,105.2,2.2,9.0,14,2,1.2,7
I experience panic attacks when I think about exams,High,2,104.8,4.9,9.0,8,0,1.0,0
I have been feeling restless lately because of exams,Moderate,1,81.9,6.6,6.9,5,5,2.3,11
I experience panic attacks when I think about exams,High,2,94.1,4.0,11.2,14,1,1.0,5
I get nervous but can still function and study normally,Moderate,1,67.8,5.8,7.2,5,5,1.5,22
I have not been able to sleep for days because of exam fear,High,2,105.5,4.9,8.7,12,0,1.0,1
Exams do not bother me much this time,Low,0,74.5,7.6,4.1,0,8,2.7,27
My mind goes completely blank whenever I try to study,High,2,91.6,4.4,11.5,8,0,0.9,1
I sometimes procrastinate due to exam pressure and worry,Moderate,1,86.4,4.7,6.6,5,4,1.9,11
I am somewhat nervous and find it hard to concentrate sometimes,Moderate,1,78.8,5.7,6.5,4,4,1.8,8
I feel completely hopeless and unprepared for the exams,High,2,109.6,4.2,10.0,11,2,0.9,0
I get nervous but can still function and study normally,Moderate,1,81.4,7.1,7.6,5,3,1.7,11
My heart races and I feel nauseous when exam date approaches,High,2,81.8,5.4,9.4,9,0,1.6,5
I have been feeling restless lately because of exams,Moderate,1,76.2,7.7,8.5,5,6,2.0,22
I feel good about my chances in the exam,Low,0,77.2,7.2,6.3,2,10,2.6,32
No major worries just some normal exam jitters,Low,0,68.0,7.2,5.9,2,6,2.6,54
My appetite has slightly reduced during exam preparation,Moderate,1,76.1,6.1,7.0,2,4,1.7,22
I feel good about my chances in the exam,Low,0,77.5,7.0,5.6,1,5,2.2,33
The thought of the exam fills me with dread and terror,High,2,92.8,4.7,8.9,6,2,1.3,9
I feel good about my chances in the exam,Low,0,71.9,8.4,6.7,2,9,2.4,33
I feel extremely stressed and cannot focus on anything,High,2,87.6,5.1,11.1,7,1,1.4,1
My preparation is going smoothly without much stress,Low,0,65.1,6.7,6.5,1,10,2.4,36
I sometimes procrastinate due to exam pressure and worry,Moderate,1,87.7,6.4,7.2,5,3,1.7,19
I feel a little nervous but it motivates me positively,Low,0,63.7,7.8,4.3,2,6,2.7,36
The thought of the exam fills me with dread and terror,High,2,87.9,4.1,11.3,7,1,1.4,9
I feel like everything depends on this exam and I might fail,High,2,91.3,4.1,10.3,11,0,1.7,0
I feel quite relaxed about my upcoming exams,Low,0,68.4,7.4,5.3,2,5,2.9,46
I feel good about my chances in the exam,Low,0,72.3,7.8,4.9,0,9,2.6,36
I sometimes procrastinate due to exam pressure and worry,Moderate,1,90.8,4.8,8.0,2,4,2.1,24
Exams do not bother me much this time,Low,0,68.2,6.8,4.4,1,7,2.2,39
I have not been able to sleep for days because of exam fear,High,2,95.9,4.7,11.7,7,0,1.1,6
I feel completely hopeless and unprepared for the exams,High,2,97.3,4.6,8.0,8,0,1.3,8
I feel completely hopeless and unprepared for the exams,High,2,92.1,5.4,9.7,9,1,1.8,8
I cannot stop worrying about failing the exam at all,High,2,97.2,4.0,9.2,8,1,1.7,1
I cannot stop worrying about failing the exam at all,High,2,94.3,4.8,10.0,5,2,1.3,3
